,date,home_team,score,away_team,,,
0,17-04-2021,Orlando City SC,0 - 0,Atlanta United FC,,,
1,25-04-2021,Atlanta United FC,3-1,Chicago Fire,,,
10,04-07-2021,Chicago Fire,3 - 0,Atlanta United FC,,,
100,24-10-2021,Chicago Fire,1 - 0,Real Salt Lake,,,
101,27-10-2021,New York City FC,1 - 0,Chicago Fire,,,
102,07-11-2021,Columbus Crew,2 - 0,Chicago Fire,,,
103,18-04-2021,Club Internacional de Fútbol Miami,4 - 4,LA Galaxy,,,
104,25-04-2021,Philadelphia Union,2 - 2,Club Internacional de Fútbol Miami,,,
105,02-05-2021,Nashville SC (MLS),0 - 0,Club Internacional de Fútbol Miami,,,
106,09-05-2021,Club Internacional de Fútbol Miami,1 - 2,Atlanta United FC,,,
107,12-05-2021,Club Internacional de Fútbol Miami,0 - 2,Montreal Impact,,,
108,16-05-2021,FC Cincinnati,4 - 4,Club Internacional de Fútbol Miami,,,
109,22-05-2021,Chicago Fire,1 - 0,Club Internacional de Fútbol Miami,,,
11,09-07-2021,Nashville SC (MLS),2 - 3,Atlanta United FC,,,
110,30-05-2021,Club Internacional de Fútbol Miami,0 - 3,DC United,,,
111,20-06-2021,DC United,1 - 0,Club Internacional de Fútbol Miami,,,
112,26-06-2021,Club Internacional de Fútbol Miami,2 - 2,Orlando City SC,,,
113,03-07-2021,Montreal Impact,1 - 0,Club Internacional de Fútbol Miami,,,
114,21-07-2021,Club Internacional de Fútbol Miami,0 - 5,New England Revolution,,,
115,25-07-2021,Club Internacional de Fútbol Miami,1 - 2,Philadelphia Union,,,
116,01-08-2021,Club Internacional de Fútbol Miami,1 - 3,Montreal Impact,,,
117,05-08-2021,Orlando City SC,1 - 2,Club Internacional de Fútbol Miami,,,
118,08-08-2021,Club Internacional de Fútbol Miami,1 - 3,Nashville SC (MLS),,,
119,15-08-2021,New York City FC,2 - 0,Club Internacional de Fútbol Miami,,,
12,17-07-2021,Atlanta United FC,0 - 1,New England Revolution,,,
120,18-08-2021,Club Internacional de Fútbol Miami,2 - 4,Chicago Fire,,,
121,22-08-2021,Club Internacional de Fútbol Miami,1 - 4,Toronto FC,,,
122,28-08-2021,Orlando City SC,0 - 0,Club Internacional de Fútbol Miami,,,
123,05-09-2021,FC Cincinnati,0 - 1,Club Internacional de Fútbol Miami,,,
124,12-09-2021,Club Internacional de Fútbol Miami,1 - 0,Columbus Crew,,,
125,14-09-2021,Toronto FC,0 - 1,Club Internacional de Fútbol Miami,,,
126,17-09-2021,Club Internacional de Fútbol Miami,0 - 4,New York Red Bulls,,,
127,22-09-2021,Club Internacional de Fútbol Miami,7 - 1,Nashville SC (MLS),,,
128,29-09-2021,Atlanta United FC,1 - 0,Club Internacional de Fútbol Miami,,,
129,03-10-2021,Portland Timbers,1 - 0,Club Internacional de Fútbol Miami,,,
13,22-07-2021,FC Cincinnati,1 - 2,Atlanta United FC,,,
130,09-10-2021,New York Red Bulls,1 - 0,Club Internacional de Fútbol Miami,,,
